iter	MultiClass
0	1.07027453
1	1.041920072
2	1.021686035
3	1.005877819
4	0.991436859
5	0.9799931277
6	0.9669885012
7	0.9566394425
8	0.9468665816
9	0.9379012025
10	0.9317769731
11	0.9253577178
12	0.9196868901
13	0.9146046404
14	0.909977298
15	0.9061012543
16	0.9020108835
17	0.8979802326
18	0.8945078434
19	0.8920212261
20	0.8871835005
21	0.8843450346
22	0.8804404522
23	0.878333127
24	0.8755237478
25	0.8730358591
26	0.8707567041
27	0.8679368872
28	0.86572386
29	0.8634540383
30	0.8618026337
31	0.8594842625
32	0.8567135024
33	0.8545483377
34	0.8532710355
35	0.8510017532
36	0.8491307359
37	0.8482267058
38	0.8471631666
39	0.8454152564
40	0.8437220709
41	0.8422713732
42	0.8406547859
43	0.8393330318
44	0.8378236334
45	0.8362344921
46	0.8342568545
47	0.8325863242
48	0.8313852625
49	0.8296154774
50	0.828470676
51	0.8269378437
52	0.8257982516
53	0.8244816846
54	0.8231758324
55	0.8218406395
56	0.8203638962
57	0.8195497018
58	0.8180530147
59	0.8174474806
60	0.8166277851
61	0.8155298001
62	0.8147536683
63	0.8139585185
64	0.81268108
65	0.8118083905
66	0.8111836535
67	0.8100777643
68	0.8093833106
69	0.8084583001
70	0.8080216312
71	0.8067315055
72	0.8053300556
73	0.8041077937
74	0.8033172893
75	0.8025537616
76	0.8012437701
77	0.8000463455
78	0.7989902437
79	0.7977769117
80	0.796760891
81	0.7957060252
82	0.7945542362
83	0.793811691
84	0.7928078246
85	0.7916581826
86	0.7904998672
87	0.7889856903
88	0.7881218689
89	0.7876221623
90	0.7864554546
91	0.7852303884
92	0.7840434469
93	0.7829769039
94	0.7821477298
95	0.7810915046
96	0.7800821205
97	0.7792764103
98	0.7783381922
99	0.7776243471
100	0.7770408798
101	0.7761204522
102	0.7754869077
103	0.7746806198
104	0.7740372412
105	0.7733063776
106	0.7720167085
107	0.7713078782
108	0.7700999381
109	0.7689388788
110	0.767877423
111	0.7670353972
112	0.7660078074
113	0.7654774235
114	0.7639826275
115	0.7635330958
116	0.7626275158
117	0.7620429443
118	0.7610781681
