iter	Passed	Remaining
0	182	72730
1	233	46514
2	290	38386
3	359	35616
4	441	34890
5	517	33982
6	586	32928
7	646	31667
8	699	30370
9	774	30224
10	847	29970
11	911	29465
12	968	28824
13	1043	28767
14	1111	28522
15	1174	28190
16	1238	27905
17	1297	27538
18	1354	27159
19	1415	26899
20	1472	26574
21	1533	26352
22	1592	26107
23	1649	25847
24	1704	25564
25	1767	25430
26	1819	25141
27	1872	24873
28	1924	24617
29	1990	24543
30	2039	24281
31	2089	24030
32	2139	23793
33	2188	23562
34	2239	23355
35	2287	23131
36	2341	22968
37	2389	22758
38	2439	22580
39	2488	22397
40	2537	22216
41	2580	21992
42	2630	21841
43	2687	21747
44	2737	21597
45	2786	21442
46	2832	21272
47	2878	21107
48	2924	20946
49	2968	20778
50	3016	20643
51	3062	20493
52	3112	20375
53	3158	20239
54	3203	20095
55	3260	20027
56	3307	19903
57	3355	19786
58	3403	19672
59	3448	19542
60	3493	19417
61	3535	19275
62	3581	19155
63	3626	19041
64	3677	18953
65	3731	18884
66	3786	18819
67	3838	18740
68	3887	18650
69	3947	18607
70	4010	18585
71	4065	18520
72	4128	18495
73	4179	18411
74	4223	18300
75	4272	18213
76	4320	18125
77	4371	18045
78	4431	18007
79	4480	17922
80	4533	17852
81	4583	17775
82	4633	17697
83	4683	17617
84	4727	17520
85	4789	17486
86	4836	17400
87	4887	17328
88	4936	17250
89	4983	17165
90	5030	17080
91	5073	16986
92	5115	16886
93	5168	16824
94	5222	16768
95	5286	16741
96	5343	16692
97	5407	16664
98	5460	16602
99	5516	16548
100	5566	16479
101	5615	16406
102	5664	16332
103	5714	16264
104	5764	16194
105	5810	16115
106	5858	16041
107	5905	15967
108	5952	15890
109	5998	15814
110	6044	15738
111	6088	15656
112	6132	15575
113	6178	15499
114	6222	15421
115	6264	15336
116	6303	15246
117	6348	15172
118	6394	15100
119	6438	15022
120	6478	14938
121	6521	14860
122	6565	14784
123	6606	14704
124	6651	14632
125	6695	14560
126	6739	14486
127	6784	14416
128	6824	14337
129	6872	14273
130	6916	14202
131	6963	14137
132	7004	14061
133	7051	13997
134	7098	13934
135	7142	13864
136	7184	13791
137	7226	13720
138	7267	13646
139	7309	13574
140	7350	13502
141	7394	13435
142	7454	13397
143	7501	13336
144	7547	13272
145	7601	13225
146	7647	13162
147	7690	13094
148	7733	13027
149	7776	12960
150	7822	12899
151	7865	12833
152	7904	12761
153	7944	12691
154	7985	12621
155	8026	12554
156	8067	12486
157	8116	12431
158	8167	12379
159	8228	12343
160	8289	12305
161	8341	12254
162	8401	12215
163	8458	12171
164	8511	12122
165	8563	12071
166	8616	12022
167	8670	11973
168	8719	11918
169	8764	11858
170	8810	11798
171	8858	11742
172	8903	11681
173	8954	11630
174	9001	11572
175	9045	11511
176	9087	11448
177	9128	11384
178	9172	11324
179	9216	11264
180	9258	11201
181	9305	11146
182	9352	11090
183	9397	11032
184	9435	10966
185	9477	10904
186	9519	10842
187	9560	10781
188	9599	10716
189	9641	10656
190	9682	10595
191	9724	10534
192	9762	10470
193	9804	10410
194	9842	10347
195	9882	10286
196	9924	10226
197	9965	10166
198	10004	10105
199	10070	10070
200	10124	10023
201	10167	9966
202	10210	9908
203	10254	9852
204	10294	9792
205	10336	9734
206	10379	9677
207	10425	9623
208	10473	9571
209	10515	9514
210	10559	9458
211	10603	9402
212	10646	9346
213	10693	9294
214	10740	9241
215	10801	9200
216	10848	9148
217	10887	9089
218	10930	9033
219	10977	8981
220	11026	8930
221	11071	8877
222	11113	8821
223	11153	8763
224	11194	8707
225	11233	8648
226	11273	8591
227	11316	8536
228	11361	8484
229	11408	8432
230	11452	8378
231	11499	8327
232	11545	8275
233	11589	8221
234	11629	8165
235	11672	8111
236	11713	8055
237	11753	8000
238	11793	7944
239	11836	7890
240	11877	7836
241	11919	7781
242	11961	7728
243	12001	7673
244	12042	7618
245	12086	7566
246	12130	7513
247	12171	7459
248	12212	7406
249	12257	7354
250	12299	7301
251	12343	7249
252	12385	7196
253	12424	7141
254	12465	7088
255	12506	7034
256	12551	6983
257	12590	6929
258	12634	6878
259	12696	6836
260	12735	6782
261	12780	6731
262	12822	6679
263	12862	6626
264	12905	6574
265	12945	6521
266	12986	6469
267	13028	6417
268	13070	6365
269	13108	6311
270	13151	6260
271	13191	6207
272	13231	6155
273	13272	6103
274	13313	6051
275	13352	5998
276	13395	5948
277	13441	5898
278	13484	5847
279	13529	5798
280	13572	5747
281	13618	5698
282	13664	5649
283	13713	5601
284	13767	5555
285	13817	5507
286	13866	5459
287	13915	5411
288	13959	5361
289	14006	5312
290	14050	5263
291	14100	5215
292	14160	5171
293	14209	5123
294	14257	5074
295	14305	5026
296	14350	4976
297	14397	4927
298	14457	4883
299	14505	4835
300	14546	4784
301	14585	4733
302	14625	4682
303	14664	4631
304	14707	4580
305	14746	4529
306	14797	4482
307	14853	4436
308	14908	4390
309	14954	4341
310	15004	4293
311	15050	4245
312	15103	4198
313	15156	4151
314	15208	4103
315	15254	4054
316	15308	4008
317	15356	3959
318	15404	3911
319	15452	3863
320	15499	3814
321	15538	3763
322	15576	3713
323	15614	3662
324	15652	3612
325	15692	3562
326	15732	3512
327	15780	3463
328	15832	3416
329	15883	3369
330	15932	3321
331	15986	3274
332	16040	3227
333	16094	3180
334	16141	3132
335	16196	3085
336	16245	3037
337	16291	2988
338	16347	2941
339	16396	2893
340	16451	2846
341	16500	2798
342	16547	2749
343	16593	2701
344	16633	2651
345	16673	2602
346	16720	2553
347	16764	2505
348	16809	2456
349	16855	2407
350	16897	2358
351	16938	2309
352	16978	2260
353	17022	2211
354	17078	2164
355	17128	2117
356	17176	2068
357	17223	2020
358	17273	1972
359	17319	1924
360	17360	1875
361	17403	1826
362	17445	1778
363	17489	1729
364	17534	1681
365	17576	1632
366	17620	1584
367	17665	1536
368	17704	1487
369	17743	1438
370	17784	1390
371	17824	1341
372	17863	1293
373	17901	1244
374	17940	1196
375	17976	1147
376	18013	1098
377	18053	1050
378	18093	1002
379	18133	954
380	18172	906
381	18215	858
382	18261	810
383	18303	762
384	18343	714
385	18387	666
386	18427	619
387	18480	571
388	18524	523
389	18564	476
390	18605	428
391	18646	380
392	18688	332
393	18731	285
394	18772	237
395	18815	190
396	18855	142
397	18896	94
398	18936	47
399	18978	0
